product_id,product_title,predicted_rating,actual_rating,discounted_price,original_price,total_reviews,is_best_seller,discount_percentage,user_id
18,"Avery Printable Greeting Cards with Envelopes, Half-Fold, 5.5"" x 8.5"", Matte White, 30 Blank Greeting Cards for Inkjet Printers (08316)",0.1282701390503861,4.7,22.07,27.33,1460.0,No Badge,19.25,5
106,"Simple Houseware Mesh Laptop Stand with 11-Levels Adjustable Ventilated Computer Holder, Black",0.07526283761419635,4.7,16.87,16.87,5205.0,No Badge,0.0,5
60,"HP Elitebook 650 G10 15 15.6"" FHD Business Laptop Computer, 13th Gen Intel 10-Core i7-1355U, 64GB DDR4 RAM, 2TB PCIe SSD, WiFi 6E, BT5.3, Backlit Keyboard, Fingerprint Reader, Windows 11 Pro, AZ-XUT",0.7262264353505584,4.4,1229.0,1299.0,54.0,No Badge,5.39,6
112,"TP-Link USB 3.0 WiFi Adapter for Desktop PC (Archer TX30U Plus)-AX1800 WiFi 6 Dual-Band Plug and Play Wireless Network Adapter with 2.4GHz, 5GHz, 2×High Gain Antenna, WPA3, Supports Windows 11/10",0.7141587700102754,4.7,32.99,32.99,7.0,No Badge,0.0,6
0,"A better mix of precision and comfort with scrolling designed for Web use. - LOGITECH, INC. M325 Wireless Mouse, Right/Left, Blue",0.666690704842207,4.6,13.99,13.99,906.0,No Badge,0.0,6
96,"RCA 10.1"" WiFi Digital Picture Frame Uhale App Photo Frames Electronic HD IPS Touch Screen Display with 32GB Memory LED Lights, Support USB/SD Card, Slideshow, Instantly Share Photos Videos",0.5011893453409482,4.0,59.99,79.99,5.0,No Badge,25.0,6
48,"Fujifilm Instax Mini 100 Film for Fuji 7S 8 25 50S 90 300 Instant Camera, Share SP-1 White, Pack of 5",0.45791766007452417,4.8,118.99,118.99,1895.0,No Badge,0.0,6
116,"UBeesize 72"" Phone Tripod - Tripod for iPhone & Selfie Stick with Phone Holder & Remote - Upgraded, Stable & Portable Stand for iPhone 16/15/14, Android, Cameras & Action Cams",0.255885492553679,4.5,29.69,32.99,291.0,No Badge,10.0,6
29,"Canon CLI-251 Genuine 5 Color Value Pack, Compatible with MG7520, MG5620, and MG6620 Printers",0.24214998739386417,4.6,69.95,74.99,1314.0,No Badge,6.72,6
124,klipsch Reference Premiere RP-8000F II Ebony Floorstanding Speaker,0.22697954088656183,4.6,549.99,549.99,93.0,No Badge,0.0,6
23,"Bose Headphones 700, Noise Cancelling Bluetooth Over-Ear Wireless Headphones with Built-in Microphone for Clear Calls and Alexa Voice Control, Black",0.1963018645893068,4.5,79.99,85.99,36499.0,No Badge,0.0,6
20,"BCW Vinyl Record Storage Boxes – 10 Pack | Holds 65 LPs Each | Stackable Vinyl Record Storage Box with Reinforced Bottom & Handles | Archival Record Organizer for 12-Inch Albums, DJs & Collectors",0.1932195328003862,4.6,93.99,93.99,340.0,No Badge,0.0,6
29,"Canon CLI-251 Genuine 5 Color Value Pack, Compatible with MG7520, MG5620, and MG6620 Printers",1.047530113120852,4.6,69.95,74.99,1314.0,No Badge,6.72,9
63,Humminbird LakeMaster Premium Minnesota V1 Map SD Card for Fish Finders,0.9976378554501563,4.6,156.84,199.99,66.0,No Badge,21.58,9
101,"Sanus Height Adjustable Speaker Stand for Sonos Era 300™ - 17"" Height Adjustment Sonos Stand Includes Carpet Spikes & Rubber Pads - Easy DIY Install Comes w/All Hardware - White",0.8270766923288656,4.4,179.99,179.99,45.0,No Badge,0.0,9
19,"BAGSMART 13-14 inch Laptop Case with Handle, Puffy Padded Laptop Bag Sleeve for Women, Portable MacBook Air/Pro Case Compatible with Dell, HP, Lenovo, ASUS, Acer, Huawei Computer, Beige",0.8039352866837552,4.6,24.99,24.99,1075.0,No Badge,0.0,9
2,"AMD Ryzen 5 3400G 4-core, 8-Thread Unlocked Desktop Processor with Radeon RX Graphics",0.699976967175331,4.7,77.0,87.78,6862.0,No Badge,12.28,9
50,G.SKILL Trident Z5 Neo RGB Series (AMD Expo) DDR5 RAM 64GB (2X 32GB) 6000MT/s CL26-36-36-96 1.45V Desktop Computer Memory U-DIMM - Black (F5-6000J2636H32GX2-TZ5NR),0.6820088470323287,5.0,356.39,356.39,24.0,No Badge,0.0,9
41,"Energizer Alkaline 12v Battery, A27",0.46918032928285197,4.6,7.95,7.95,8778.0,No Badge,0.0,9
34,"Dell Inspiron 15 3511 15.6 Inch Laptop, Full HD LED Non-Touch WVA Display - Intel Core i3-1115G4, 8GB DDR4 RAM, 256GB SSD, UHD Graphics, Windows 11 Home - Carbon Black",0.41764204103058916,4.2,369.0,369.0,507.0,Amazon's,0.0,9
123,"acer 2-Pack Laptop Privacy Screen - for Laptop 15.6 Inch 16:9, Magnetic & Removable Privacy Filter Shield, Anti-Glare Screen Protector, Dual-Sided Monitor Shield, for HP, Dell and Other Major Brands",0.4144633144020202,4.5,59.99,59.99,381.0,No Badge,0.0,9
64,Insta360 Motorcycle Selfie Stick Support Clamp,0.40965485602737794,4.5,48.99,54.99,115.0,No Badge,10.91,9
21,"Belkin MagSafe-Compatible Charger, 3-in-1 Wireless Charging Station, Qi2-Certified 15W Wireless Charge for Apple iPhone 16 Series, Apple Watch, AirPods w/Non-Slip Base, 40W Included - Black",0.42953126268940267,4.4,119.99,119.99,3520.0,No Badge,0.0,13
50,G.SKILL Trident Z5 Neo RGB Series (AMD Expo) DDR5 RAM 64GB (2X 32GB) 6000MT/s CL26-36-36-96 1.45V Desktop Computer Memory U-DIMM - Black (F5-6000J2636H32GX2-TZ5NR),0.18341232416488948,5.0,356.39,356.39,24.0,No Badge,0.0,13
63,Humminbird LakeMaster Premium Minnesota V1 Map SD Card for Fish Finders,0.148938180922435,4.6,156.84,199.99,66.0,No Badge,21.58,13
89,"PIONEER A-Series Plus TS-A6971F 6” x 9” 4-Way Speakers (Pair) – 600W Max, Balanced Sound + Smooth Treble, Enhanced Bass, Ideal Factory Upgrade, Installation Adaptors Included",0.11843694156463477,4.6,71.89,109.99,73.0,No Badge,34.64,13
103,Sennheiser HD 25 Monitor Headphones with Headphone Case & Padded Holder Bundle,0.11078070755599248,4.3,149.95,149.95,93.0,No Badge,0.0,13
7,ASURION 3 Year Furniture Protection Plan ($800 - $899.99),0.10227076511222152,4.5,169.99,169.99,381.0,No Badge,0.0,13
84,NIKON Z TELECONVERTER TC-2.0X for 2.0X Magnification of Compatible Nikon Z Mirrorless Lenses and Nikon Z Cameras,0.09868068983236625,4.2,599.95,599.95,186.0,No Badge,0.0,13
61,"HP ScanJet Pro 3000 s4 (6FW07A) 40ppm USB 3.0 Color Duplex Scanner with 50-page ADF for Documents, Photos, Receipts, and Cards. TWAIN/ISIS drivers included",0.09773915957626492,3.7,216.66,216.66,76.0,No Badge,0.0,13
85,"NOCO NUSB211NA 10W USB Power Adapter, 2.1A 5V Wall Charger and Compatible, Apple, Samsung, Google, Amazon Devices",0.09155874361170341,4.7,9.95,9.95,5591.0,No Badge,0.0,13
80,Motorola 56531 Multi Unit Charger / Cloning Station,0.08959584232477179,4.3,199.99,199.99,105.0,No Badge,0.0,13
123,"acer 2-Pack Laptop Privacy Screen - for Laptop 15.6 Inch 16:9, Magnetic & Removable Privacy Filter Shield, Anti-Glare Screen Protector, Dual-Sided Monitor Shield, for HP, Dell and Other Major Brands",0.6920020675841865,4.5,59.99,59.99,381.0,No Badge,0.0,14
11,ASURION 4 Year Housewares Protection Plan ($150 - $174.99),0.5920888952346324,4.5,34.99,34.99,3459.0,No Badge,0.0,14
3,"ARKON Mounts - Camera Wall Mount Robust Aluminum Construction Easy Installation Precision adjustments to capture any angle Great security camera mount for CCTV cameras, camcorders, and more",0.5109524312309861,4.6,31.05,49.95,1138.0,No Badge,37.84,14
10,ASURION 4 Year Home Improvement Protection Plan ($600 - $699.99),0.24568436020624965,4.4,93.99,93.99,613.0,No Badge,0.0,14
0,"A better mix of precision and comfort with scrolling designed for Web use. - LOGITECH, INC. M325 Wireless Mouse, Right/Left, Blue",0.1818278843580709,4.6,13.99,13.99,906.0,No Badge,0.0,14
21,"Belkin MagSafe-Compatible Charger, 3-in-1 Wireless Charging Station, Qi2-Certified 15W Wireless Charge for Apple iPhone 16 Series, Apple Watch, AirPods w/Non-Slip Base, 40W Included - Black",0.15660369413396497,4.4,119.99,119.99,3520.0,No Badge,0.0,14
2,"AMD Ryzen 5 3400G 4-core, 8-Thread Unlocked Desktop Processor with Radeon RX Graphics",0.13554176390989997,4.7,77.0,87.78,6862.0,No Badge,12.28,14
112,"TP-Link USB 3.0 WiFi Adapter for Desktop PC (Archer TX30U Plus)-AX1800 WiFi 6 Dual-Band Plug and Play Wireless Network Adapter with 2.4GHz, 5GHz, 2×High Gain Antenna, WPA3, Supports Windows 11/10",0.13018248401844598,4.7,32.99,32.99,7.0,No Badge,0.0,14
104,Sigma 16-28 mm F2.8 DG DN Lens for Sony E Mount,0.10276218142087758,4.6,989.0,989.0,131.0,No Badge,0.0,14
80,Motorola 56531 Multi Unit Charger / Cloning Station,0.08678024287072666,4.3,199.99,199.99,105.0,No Badge,0.0,14
24,"Brady Authentic (M5C-1500-595-WT-BK) All-Weather Vinyl Labels 1.5 in W x 25ft Black on White. for use with BMP51, M510, and M511 Label Printers.",0.9825727855451586,4.4,80.04,80.04,17.0,No Badge,0.0,15
39,E-Z Ink Compatible Drum Unit Replacement for Brother DR 820 DR820 DR-820 Compatible with MFC-L5900DW HL-L6200DW HL-L5100DN MFC-L5800DW MFC-L5700DW HL-L5200DWT MFC-L6700DW HL-L5200DW (2 Drum Unit),0.7166702192934113,4.3,59.24,59.24,335.0,No Badge,0.0,15
32,Celestron – Origin Intelligent Home Observatory – All-in-one Astroimaging and Stargazing Smart Telescope – 6-inch RASA Telescope – Fully-Automated GoTo Mount – User-Friendly – iOS/Android Compatible,0.6331104139808557,4.4,3797.85,3797.85,25.0,No Badge,0.0,15
76,Lume Cube RGB Tube Light Mini for Photo & Video | RGBWW Full Color Tube Light | Bluetooth App Controlled | Millions of Colors | Aluminum Durable Design | 97+ CRI,0.5511588680333696,4.9,169.99,169.99,29.0,No Badge,0.0,15
46,FUJIFILM X-T5 Mirrorless Digital Camera XF16-50mmF2.8-4.8 R LM WR Lens Kit - Silver,0.3925287150869347,4.5,2299.0,2299.0,2.0,No Badge,0.0,15
